ID,"Sektor ID",Name,Kecamatan,Deskripsi,Image,Status,"Tanggal Awal","Tanggal Akhir"
38,3,"Iusto fuga earum qui ut.","Banda Aceh","At fugit similique laudantium minus. Quo optio provident voluptatem omnis quia. Velit vitae voluptas perspiciatis. Ut qui facere assumenda.",example.jpg,Draf,"2024-07-24 13:40:58","2024-11-17 21:10:29",
39,3,"Quia earum qui est tempore.",Bukittinggi,"Dolor provident aut recusandae maxime. Nisi aut quod eum iusto numquam dolor. Est beatae ullam similique sunt quia ea. Inventore eum nemo ut laboriosam veniam esse.",example.jpg,Terbit,"2024-10-03 17:48:12",,"2023-12-19 19:54:20"
40,5,"Ducimus et in ut deserunt possimus.","Pagar Alam","Quia magni facere magnam quis unde sit. Non illo enim est eius soluta consequatur fugiat qui. Totam ex veniam provident et autem voluptatem. Labore minima et neque hic molestiae.",example.jpg,Draf,"2024-10-13 06:06:05",,
41,2,"Ut et odit voluptatum dolore tempore.",Bitung,"Enim quos hic et totam. Fugiat earum aperiam minus ratione sit veniam numquam. Non earum omnis ipsam veniam voluptatem sequi. Voluptatem accusantium et porro provident.",example.jpg,Terbit,"2024-10-08 19:31:46","2025-06-26 13:24:02","2023-12-09 10:22:35"
42,4,"Ipsam quia aut eaque quasi minima tenetur.",Depok,"Dignissimos molestias omnis in ducimus. Est rerum ab eveniet perferendis et necessitatibus. Ut expedita voluptas explicabo inventore tempora. Qui et corporis nostrum debitis aspernatur et.",example.jpg,Draf,"2023-12-28 06:34:24",,
43,4,"Voluptatem cumque ipsam cupiditate est.","Tangerang Selatan","Vel incidunt soluta necessitatibus ex sed libero similique. Nulla praesentium modi facilis. Qui corporis provident excepturi quis consequatur ut. Ut necessitatibus culpa temporibus aut magni voluptas.",example.jpg,Terbit,"2024-04-04 01:52:57","2024-11-27 03:20:18","2024-10-18 14:21:31"
44,4,"Deserunt accusantium et doloremque.",Metro,"Sequi veritatis officia est praesentium sunt quo. Et doloribus neque quos qui veniam. Libero velit vel aut incidunt facere sint consectetur quia. Voluptatem voluptas tenetur omnis ut doloremque enim.",example.jpg,Draf,"2024-05-04 12:55:57",,
45,2,"Eum nihil reiciendis magnam sit natus quam et.",Batu,"Sed et repellat non dicta et quasi. Et repellendus quia voluptatem voluptates nobis alias voluptas quam. Non ut officiis est tenetur. Quam porro dolor fuga dolorem debitis accusantium atque. Et incidunt quasi facilis quod non ipsam.",example.jpg,Terbit,"2024-05-09 02:00:51","2025-07-29 09:24:46","2024-02-22 22:32:38"
46,2,"Numquam quam cumque ea ad est minima deserunt.",Tanjungbalai,"Veritatis suscipit deserunt illo animi nostrum et. Et in ratione omnis sunt. Non quia quis vel repellendus libero. Nulla corporis et illo perspiciatis.",example.jpg,Terbit,"2024-03-26 12:17:37","2025-07-16 06:44:02","2024-07-13 19:02:17"
47,6,"Aspernatur illo libero sunt tenetur.",Salatiga,"Aut labore enim voluptas impedit sit recusandae. Voluptatum ab et et beatae ad ratione. Quis nobis aut sint.",example.jpg,Draf,"2024-04-27 08:57:02","2025-11-01 01:40:06",
48,2,"Maxime hic id vel numquam accusantium soluta.",Pontianak,"Et distinctio minus eveniet ipsa delectus rerum esse. Unde et quos et. Reiciendis commodi inventore sit omnis. Saepe est et eligendi sunt aspernatur neque.",example.jpg,Terbit,"2024-01-31 11:32:36",,"2024-05-20 05:11:15"
49,2,"Ipsam enim officiis sint molestiae.","Administrasi Jakarta Barat","Fugit eum incidunt alias dolorem velit. Est et praesentium consequatur. Architecto voluptates esse tempore alias asperiores perferendis.",example.jpg,Draf,"2024-06-07 12:28:17",,
50,6,"Aut magnam numquam voluptate quisquam.",Cirebon,"Sed enim explicabo maxime beatae aut. Accusantium cumque corporis eaque voluptatem voluptatem earum delectus in. Eum magni quas distinctio. Dolorum distinctio voluptatem et quis. Qui vero alias provident delectus quo voluptate.",example.jpg,Terbit,"2024-07-20 03:50:18","2025-06-27 18:42:46","2024-08-16 07:37:19"
51,5,"Veritatis nam pariatur id harum earum dolor.",Yogyakarta,"Fugiat reprehenderit doloremque iusto qui voluptas. Aliquid natus dolores et sit dolores harum modi.",example.jpg,Draf,"2024-04-16 12:14:49",,
52,7,"Magnam eaque doloribus fugit commodi.",Lubuklinggau,"Aliquid et tempore dolor eum adipisci qui. Autem enim iste fugiat neque. Fugiat culpa iusto consequatur hic debitis ipsum qui itaque. Tempore voluptatem voluptatem ut dolores magni assumenda molestiae.",example.jpg,Terbit,"2024-08-09 18:55:05","2024-12-03 16:57:53","2024-08-25 08:08:55"
53,5,"Animi expedita voluptatem porro ex.","Bandar Lampung","Et cum fugit reprehenderit pariatur. Officia architecto minima officiis molestiae fuga deleniti quas sunt. Dicta nulla qui ipsum autem vitae sit. Temporibus officia soluta aliquid consequatur sapiente voluptatem maxime.",example.jpg,Draf,"2024-03-03 15:09:07","2024-11-07 04:55:08",
54,3,"Iure qui ducimus laudantium quis.",Tomohon,"Quisquam atque nesciunt molestiae corrupti qui quis. Eum esse perferendis numquam sint sapiente quia et. Quibusdam corporis deleniti facilis reprehenderit ut ducimus excepturi aut. Incidunt autem nihil voluptatem nemo sequi. Dolores animi praesentium ut deserunt corporis dolor.",example.jpg,Draf,"2024-07-09 02:33:23",,
55,4,"Et natus officia minus.",Tarakan,"Aut perspiciatis excepturi sint maiores molestiae non quo harum. Aut iusto similique quia et non. Explicabo dolorem officia sit veniam.",example.jpg,Terbit,"2024-09-27 04:18:38","2025-04-09 23:58:08","2024-03-10 18:30:20"
56,1,"Nam voluptatem quae sint eos.",Langsa,"Fuga voluptatem est incidunt exercitationem maxime sit. Accusantium nihil consequatur voluptas modi iure quibusdam. Totam quis doloribus quasi.",example.jpg,Draf,"2024-03-03 21:31:39",,
57,3,"Occaecati praesentium est odio ea.",Ternate,"Est labore ratione aut repellat et dolore deserunt. Eum ut perferendis autem rerum. Qui doloribus est eum amet.",example.jpg,Draf,"2023-11-28 08:05:24",,
58,3,"Asperiores eos esse consectetur molestiae ut.",Yogyakarta,"Aut vero iusto labore facilis rerum. Ratione quod aut deserunt. Error incidunt ullam commodi.",example.jpg,Draf,"2024-07-04 09:19:08","2025-09-26 21:12:30",
59,3,"Sint corporis voluptate eligendi non.",Palopo,"Est iure ut unde explicabo ut doloremque. Magnam accusantium consequatur cumque possimus totam saepe. Praesentium vel possimus et accusantium aliquid.",example.jpg,Draf,"2024-01-27 21:51:39",,
60,7,"Et in ut dolores laudantium corporis rerum.",Banjar,"Ipsam quis error commodi alias nobis odio asperiores ea. Dignissimos reprehenderit reiciendis qui non illo nihil eveniet. Amet rem rerum reprehenderit. Quod consequatur explicabo quo facere.",example.jpg,Terbit,"2024-02-28 11:46:40",,"2024-04-17 10:43:35"
61,6,"Quae ut porro itaque magni incidunt corporis nam.",Serang,"Sapiente reiciendis sed voluptatem similique incidunt. Tenetur ut incidunt dignissimos officia. Mollitia sapiente itaque quas dolores dicta.",example.jpg,Draf,"2023-11-09 13:09:16","2025-09-28 07:09:17",
62,2,"Est accusantium minima quibusdam quaerat sint et.",Makassar,"Quod aut occaecati similique et a vel debitis ab. Impedit officiis quam aut velit. Laudantium nam facilis rerum id repellat quo sit. Commodi omnis iusto omnis non explicabo harum exercitationem.",example.jpg,Draf,"2024-02-20 06:17:41",,
63,6,"Voluptatem fugiat reprehenderit aut saepe.",Cilegon,"Eos non dolorum temporibus reprehenderit. Soluta vel consequatur a dignissimos. Est debitis sint minus.",example.jpg,Draf,"2023-12-26 22:00:24",,
64,7,"Distinctio quia et laudantium molestiae.",Solok,"Ratione voluptas quia est. Velit omnis totam architecto. Eveniet qui rerum illum unde est vero vel. Voluptatem hic qui doloribus.",example.jpg,Terbit,"2024-09-06 03:10:52","2025-04-07 14:32:50","2024-05-26 11:18:28"
65,7,"Ut eos rerum consequatur.",Padangpanjang,"Quia quo minus eligendi voluptatem ut non. Atque ex nobis accusamus. Dolor est sequi voluptates laudantium qui.",example.jpg,Draf,"2024-05-25 17:07:18","2025-04-23 08:54:53",
66,5,"Molestiae necessitatibus culpa enim ipsam.","Banda Aceh","Quas autem eveniet doloremque error. Quam laboriosam excepturi tempora esse sit. Rerum iusto quaerat non et est. Molestiae voluptatibus quae quo sint dolore quia repellendus sit. Aliquid aspernatur et nisi qui vel.",example.jpg,Terbit,"2024-01-05 15:44:19","2025-09-29 16:15:32","2024-05-22 11:20:39"
67,6,"Nisi laudantium rerum natus accusamus sapiente.",Dumai,"Quod quia accusantium consequuntur vitae illum. Dolor ipsum beatae eligendi non debitis nesciunt quo. Possimus ex cupiditate id vel.",example.jpg,Terbit,"2023-12-29 14:56:45",,"2024-03-18 15:34:55"
68,7,"Natus animi cumque sit in minus doloribus.",Yogyakarta,"Dolores perferendis minima et ratione et. Commodi nulla et quo. Labore veniam alias repellat perspiciatis esse maxime porro. Iure consequatur sint quibusdam nihil.",example.jpg,Terbit,"2024-01-08 03:59:43","2025-02-08 14:58:26","2024-05-14 11:33:06"
69,7,"Nulla debitis asperiores error expedita.",Tangerang,"Nulla et distinctio consequuntur dolor ut quia et et. Voluptate fugit fugit adipisci consequuntur sunt a. Molestiae exercitationem esse illo iste omnis quia.",example.jpg,Terbit,"2023-11-05 02:42:54",,"2024-05-11 14:50:04"
70,7,"Aut voluptatum qui vero labore.",Pariaman,"Unde ea sed perspiciatis praesentium voluptatibus. Odit eum veritatis aliquam similique porro. Odit similique ipsum reiciendis quaerat pariatur molestiae.",example.jpg,Terbit,"2024-10-30 10:54:02",,"2024-02-09 21:51:16"
71,3,"Aperiam nisi fugiat earum quia qui delectus.",Pasuruan,"Non est ipsa et minus asperiores occaecati. Qui voluptatibus quia animi et vero accusamus consequuntur. Omnis aliquid corrupti et consequatur.",example.jpg,Draf,"2024-02-24 06:43:19","2025-02-06 09:48:53",
72,2,"Beatae quo alias dicta aut officia.","Administrasi Jakarta Utara","Delectus in aliquid iure vel qui. Ut iusto quo facilis sit et magnam rerum. Ab nisi est eaque voluptatem ut esse repellendus. Eos quia eos praesentium labore.",example.jpg,Draf,"2023-11-15 17:27:37",,
73,5,"Dolorem id enim ut.",Gorontalo,"Nisi sapiente molestiae deleniti nobis. Voluptatibus id quibusdam et tenetur. Pariatur placeat eos consequatur labore.",example.jpg,Draf,"2024-01-27 08:45:16","2025-01-23 00:31:19",
74,4,"Distinctio voluptatem laudantium natus.",Cirebon,"Enim atque aperiam dolores ut aut exercitationem. Aspernatur ratione consectetur culpa labore repellendus fugiat. Dolore et ad beatae placeat.",example.jpg,Draf,"2024-09-19 09:15:32","2024-11-09 01:12:48",
75,5,"Omnis quo temporibus aliquam qui sit modi.",Serang,"Sunt ea impedit est corrupti sit aut quo. Quo eos error delectus enim quam. At eaque velit officia consequatur ex. Ipsum molestiae dolore non mollitia quibusdam.",example.jpg,Terbit,"2024-09-05 13:20:25","2025-07-11 12:13:29","2023-12-14 14:18:55"
76,7,"Velit non velit ut unde commodi quaerat.",Salatiga,"Quis hic eum dolores voluptatum quod minus quidem. Sunt deleniti non vitae quod dolor accusantium aut. Iusto quia sed officiis dolore. Optio totam qui et itaque recusandae. Facere vero et itaque.",example.jpg,Draf,"2023-12-04 19:49:00",,
77,3,"Explicabo harum sint hic aut debitis.",Tanjungbalai,"Voluptates ipsa eum esse qui placeat consequatur distinctio iure. Voluptatum sit expedita tenetur eaque qui qui. At id quae sed dicta accusamus dicta labore.",example.jpg,Terbit,"2024-05-08 13:38:29","2025-10-26 09:54:38","2024-04-24 13:14:01"
78,1,"Consectetur maiores repellendus sed quo ad.",Padangsidempuan,"Soluta aspernatur rerum quas et error. Praesentium deleniti expedita aut optio libero qui. Dolores voluptas error quo reiciendis. Tempore fugiat nihil autem dolorem praesentium fuga eum.",example.jpg,Terbit,"2024-03-15 09:45:45",,"2024-02-21 06:04:33"
79,1,"Voluptas tempora inventore at architecto ut quam.",Bontang,"Tempora nisi odio consequuntur harum amet. Cupiditate explicabo quia repellendus et iste ut quis ea. Deleniti voluptatibus ut iste. Nihil non deserunt est repellendus cupiditate ut culpa.",example.jpg,Terbit,"2024-09-23 21:24:32",,"2024-07-31 19:59:49"
80,3,"Dolor et reiciendis dignissimos sint est.",Surabaya,"Voluptatem maiores quaerat sapiente architecto eum. Voluptatem sequi consequatur sed rerum corrupti quia. Cumque in iste impedit consequatur.",example.jpg,Draf,"2024-01-25 20:47:04",,
81,4,"Fuga vel dolore non qui aut ab sed ratione.",Bandung,"Voluptatem ut eum sequi et. Saepe aliquid nesciunt autem vel architecto. Aut fuga voluptatem rerum magni tempore eius. Quia perspiciatis et ut numquam voluptate distinctio quasi ad.",example.jpg,Draf,"2024-03-09 08:20:46","2025-03-15 04:06:14",
82,2,"Neque aliquid repellat non ratione sunt.",Bukittinggi,"Dicta non aliquam qui eaque iure earum ipsa rerum. Quod fugiat est doloremque velit voluptatem dolor. Aut a earum consequatur necessitatibus neque. Voluptas quia ea hic fugit.",example.jpg,Draf,"2024-10-30 04:26:06",,
83,4,"Facere pariatur debitis nulla et.",Bima,"Voluptatem et voluptatem accusantium saepe repellendus est. Sit dignissimos necessitatibus nisi sint. Soluta qui est velit voluptas consequuntur impedit voluptatibus.",example.jpg,Terbit,"2024-10-14 22:17:06","2025-04-27 09:59:12","2024-01-13 15:42:28"
84,2,"Officiis minima nisi fuga soluta eos earum.",Pontianak,"Harum magni voluptatibus officia ipsum reiciendis. Et earum fugiat corporis sequi omnis corrupti nihil. Fugit qui dolores ipsum.",example.jpg,Draf,"2024-08-02 17:39:34",,
85,4,"Occaecati odit placeat quia et.",Banjarbaru,"Iure deleniti ab laborum natus. Eos dolores autem molestiae voluptas molestiae voluptas. Magni tempore quos assumenda assumenda nihil. Quidem perspiciatis excepturi soluta eligendi nulla pariatur.",example.jpg,Draf,"2024-03-17 08:23:24","2025-08-11 14:29:56",
86,3,"Fuga occaecati eveniet assumenda quia iste.",Medan,"Quisquam eaque maxime voluptatum consequatur voluptatibus quia. Expedita sit quasi natus asperiores est repellat. Sunt occaecati earum in quo molestias libero exercitationem quia. Suscipit delectus a commodi eum.",example.jpg,Terbit,"2024-08-01 12:33:23","2025-02-13 16:56:57","2024-07-23 07:06:56"
87,7,"Et aut id dolorem quidem dolorum est sint iste.",Ambon,"Rerum et voluptas occaecati. Voluptates odio qui fugiat fuga sunt. Hic magnam nihil nemo eveniet dignissimos velit autem. Dolorum aut accusantium sunt id assumenda illo. Dignissimos enim omnis at voluptate.",example.jpg,Draf,"2024-04-19 07:49:48",,
88,5,"Sint illum provident temporibus quisquam et.",Dumai,"Autem sit culpa doloremque ratione architecto unde. Corrupti qui nobis voluptatem inventore. Sint ea veritatis illo ut explicabo fugiat suscipit. Amet dolorum quia voluptatem facilis in et. Est ratione fuga necessitatibus quis esse doloremque sed.",example.jpg,Draf,"2024-10-03 00:26:38","2025-08-07 01:16:17",
89,7,"Quia aliquam voluptates eaque et.",Bontang,"Magni aperiam necessitatibus possimus. Reprehenderit soluta fugit quia omnis quod nostrum. Sed aliquid minima nulla. Qui omnis quibusdam nihil ipsam.",example.jpg,Draf,"2024-05-09 16:52:37","2025-03-05 03:05:04",
90,4,"Quia aut deleniti suscipit iste facere fugiat et.",Madiun,"Quo nesciunt sint ea quos impedit laborum. Magni accusamus quaerat error eum. Alias et ut dicta maxime.",example.jpg,Terbit,"2024-09-02 09:28:26","2025-06-10 14:28:29","2024-05-09 14:57:57"
91,6,"Nesciunt a reiciendis provident atque.",Mojokerto,"Quis facilis adipisci ab ab incidunt aut repellendus. Alias sunt quae molestiae et illo et et. Voluptas sed voluptatum sed quisquam sit nemo tempore. Iure qui temporibus quia beatae ut.",example.jpg,Terbit,"2024-03-20 11:28:17",,"2024-01-28 15:18:22"
92,2,"Nihil saepe illo est illo maxime dolorem minus.",Bogor,"Suscipit sint occaecati quia dolor. Deserunt ut odio magni. Laudantium in beatae sint numquam dolorum voluptatem est.",example.jpg,Terbit,"2024-04-28 13:33:28","2025-07-27 13:09:46","2024-02-04 17:27:56"
93,3,"Omnis earum ipsam impedit nemo quam fugit.","Administrasi Jakarta Selatan","Quia aperiam doloremque voluptatem rerum dolores fugiat modi. Amet sed ut quaerat sed. Iure maxime exercitationem vel voluptas.",example.jpg,Terbit,"2024-02-01 16:35:25","2025-07-20 12:30:54","2024-07-20 18:39:47"
94,3,"Repudiandae eaque atque culpa aut vel est.",Medan,"Rerum rem deserunt error commodi ex ut. Quibusdam necessitatibus temporibus dicta dolores. Est aut non possimus est quasi aut. Recusandae cumque quia hic dolorem quo.",example.jpg,Draf,"2024-08-07 11:57:57",,
